"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"21 мая 2021 г.","8,718","8,738","8,785","8,646","","-1,23%"
"20 мая 2021 г.","8,826","8,910","8,991","8,764","","-2,51%"
"19 мая 2021 г.","9,054","9,186","9,517","9,054","","1,17%"
"18 мая 2021 г.","8,949","8,685","8,965","8,521","","2,23%"
"17 мая 2021 г.","8,753","8,648","9,005","8,550","","2,90%"
"14 мая 2021 г.","8,506","8,906","8,906","8,459","","-7,23%"
"13 мая 2021 г.","9,169","9,526","9,526","9,054","","-6,00%"
"12 мая 2021 г.","9,754","9,108","9,870","9,108","","8,50%"
"11 мая 2021 г.","8,990","8,840","9,060","8,689","","4,13%"
"10 мая 2021 г.","8,634","8,422","8,635","8,336","","2,08%"
"07 мая 2021 г.","8,457","8,677","8,683","8,444","","-2,51%"
"06 мая 2021 г.","8,675","8,695","8,837","8,647","","-0,07%"
"05 мая 2021 г.","8,681","8,741","8,829","8,624","","-1,62%"
"04 мая 2021 г.","8,824","8,764","9,005","8,744","","1,80%"
"03 мая 2021 г.","8,668","8,783","8,819","8,651","","-2,14%"
"30 апр. 2021 г.","8,858","8,790","8,887","8,715","","1,88%"
"29 апр. 2021 г.","8,694","8,605","8,874","8,590","","-0,41%"
"28 апр. 2021 г.","8,730","8,657","8,754","8,640","","0,32%"
"27 апр. 2021 г.","8,702","8,837","8,915","8,694","","-1,57%"
"26 апр. 2021 г.","8,841","8,855","8,892","8,802","","-0,40%"
"23 апр. 2021 г.","8,877","9,002","9,027","8,808","","-1,81%"
"22 апр. 2021 г.","9,040","8,750","9,104","8,705","","3,26%"
"21 апр. 2021 г.","8,755","9,028","9,064","8,731","","-2,66%"
"20 апр. 2021 г.","8,994","8,873","9,125","8,834","","1,85%"
"19 апр. 2021 г.","8,830","8,604","8,921","8,593","","2,43%"
"16 апр. 2021 г.","8,620","8,724","8,763","8,551","","-1,15%"
"15 апр. 2021 г.","8,721","8,717","8,732","8,606","","-1,02%"
"14 апр. 2021 г.","8,811","8,760","8,837","8,699","","0,94%"
"13 апр. 2021 г.","8,729","8,681","8,746","8,642","","0,82%"
"12 апр. 2021 г.","8,658","8,770","8,878","8,655","","-0,64%"
"09 апр. 2021 г.","8,713","8,729","8,814","8,634","","0,40%"
"08 апр. 2021 г.","8,678","8,611","8,771","8,606","","-0,15%"
"07 апр. 2021 г.","8,691","8,800","8,806","8,649","","-0,76%"
"06 апр. 2021 г.","8,758","8,797","8,849","8,714","","-0,37%"
"05 апр. 2021 г.","8,790","8,818","8,903","8,779","","-2,12%"
"01 апр. 2021 г.","8,981","9,116","9,143","8,949","","-1,90%"
"31 мар. 2021 г.","9,155","9,144","9,251","9,038","","-0,33%"
"30 мар. 2021 г.","9,186","9,446","9,500","9,185","","-2,92%"
"29 мар. 2021 г.","9,462","9,571","9,706","9,460","","-0,04%"
"26 мар. 2021 г.","9,466","9,581","9,743","9,375","","-2,31%"
"25 мар. 2021 г.","9,690","9,908","10,120","9,673","","-1,72%"
"24 мар. 2021 г.","9,859","9,794","9,892","9,691","","-0,18%"
"23 мар. 2021 г.","9,877","9,694","9,952","9,679","","1,83%"
"22 мар. 2021 г.","9,699","10,121","10,143","9,693","","-4,66%"
"19 мар. 2021 г.","10,174","10,197","10,336","10,074","","-0,28%"
"18 мар. 2021 г.","10,202","10,148","10,304","10,070","","1,24%"
"17 мар. 2021 г.","10,078","10,416","10,473","10,070","","-2,89%"
"16 мар. 2021 г.","10,378","10,458","10,466","10,153","","-0,66%"
"15 мар. 2021 г.","10,447","10,712","10,760","10,437","","-2,48%"
"12 мар. 2021 г.","10,712","10,821","10,838","10,687","","0,22%"
"11 мар. 2021 г.","10,688","10,795","10,799","10,623","","-1,63%"
"10 мар. 2021 г.","10,865","10,780","10,876","10,776","","-0,68%"
"09 мар. 2021 г.","10,940","10,907","10,941","10,750","","-1,32%"
"08 мар. 2021 г.","11,086","10,926","11,095","10,800","","1,63%"
"05 мар. 2021 г.","10,908","11,181","11,523","10,858","","-4,14%"
"04 мар. 2021 г.","11,379","11,061","11,522","10,894","","2,14%"
"03 мар. 2021 г.","11,141","10,907","11,168","10,866","","1,48%"
"02 мар. 2021 г.","10,979","10,855","11,003","10,818","","1,53%"
"01 мар. 2021 г.","10,813","10,896","10,902","10,679","","-3,59%"
"26 февр. 2021 г.","11,215","11,233","11,522","11,095","","-2,63%"
"25 февр. 2021 г.","11,519","10,984","11,699","10,900","","5,59%"
"24 февр. 2021 г.","10,909","11,330","11,399","10,895","","-3,05%"
"23 февр. 2021 г.","11,253","11,527","11,704","11,224","","-1,91%"
"22 февр. 2021 г.","11,471","11,384","11,482","11,227","","1,94%"
"19 февр. 2021 г.","11,253","11,371","11,392","11,169","","-1,24%"
"18 февр. 2021 г.","11,394","11,502","11,566","11,337","","0,42%"
"17 февр. 2021 г.","11,346","11,451","11,648","11,339","","0,24%"
"16 февр. 2021 г.","11,319","11,165","11,322","11,114","","1,13%"
"12 февр. 2021 г.","11,192","11,320","11,360","11,130","","-0,61%"
"11 февр. 2021 г.","11,261","11,240","11,473","11,238","","-0,51%"
"10 февр. 2021 г.","11,319","11,048","11,395","11,048","","2,38%"
"09 февр. 2021 г.","11,056","10,999","11,058","10,929","","1,30%"
"08 февр. 2021 г.","10,914","10,861","10,991","10,861","","0,11%"
"05 февр. 2021 г.","10,902","10,855","11,034","10,851","","-0,12%"
"04 февр. 2021 г.","10,915","11,030","11,047","10,883","","-3,06%"
"03 февр. 2021 г.","11,259","11,537","11,711","11,231","","-4,51%"
"02 февр. 2021 г.","11,791","12,153","12,167","11,704","","-6,50%"
"01 февр. 2021 г.","12,610","12,642","13,222","12,512","","-3,18%"
"29 янв. 2021 г.","13,024","12,737","13,202","12,269","","4,34%"
"28 янв. 2021 г.","12,482","12,318","12,702","12,248","","-1,72%"
"27 янв. 2021 г.","12,701","12,008","12,899","12,008","","8,66%"
"26 янв. 2021 г.","11,688","11,579","11,748","11,498","","0,29%"
"25 янв. 2021 г.","11,655","11,383","11,827","11,366","","2,40%"
"22 янв. 2021 г.","11,382","11,451","11,497","11,324","","0,45%"
"21 янв. 2021 г.","11,332","11,268","11,413","11,236","","0,66%"
"20 янв. 2021 г.","11,257","11,253","11,354","11,229","","-0,56%"
"19 янв. 2021 г.","11,320","11,195","11,347","11,173","","-0,11%"
"15 янв. 2021 г.","11,333","11,278","11,476","11,141","","1,55%"
"14 янв. 2021 г.","11,159","10,894","11,167","10,829","","1,86%"
"13 янв. 2021 г.","10,955","11,030","11,105","10,925","","-0,75%"
"12 янв. 2021 г.","11,038","11,087","11,270","10,984","","-1,39%"
"11 янв. 2021 г.","11,194","10,927","11,227","10,878","","3,92%"
"08 янв. 2021 г.","10,772","10,766","10,982","10,706","","-0,51%"
"07 янв. 2021 г.","10,828","10,796","10,890","10,721","","-1,90%"
"06 янв. 2021 г.","11,038","11,052","11,203","10,766","","-0,78%"
"05 янв. 2021 г.","11,124","11,486","11,486","11,087","","-1,59%"
"04 янв. 2021 г.","11,303","10,873","11,539","10,873","","3,48%"
"31 дек. 2020 г.","10,923","10,905","10,986","10,741","","-0,01%"
"30 дек. 2020 г.","10,925","11,155","11,159","10,891","","-2,04%"
"29 дек. 2020 г.","11,152","10,770","11,216","10,770","","2,71%"
"28 дек. 2020 г.","10,858","10,784","10,862","10,766","","-0,14%"
"24 дек. 2020 г.","10,874","10,933","10,947","10,841","","-1,31%"
"23 дек. 2020 г.","11,018","11,172","11,209","10,966","","-2,57%"
"22 дек. 2020 г.","11,309","11,271","11,381","11,247","","0,31%"
"21 дек. 2020 г.","11,273","11,580","11,778","11,273","","2,39%"
"18 дек. 2020 г.","11,010","10,949","11,175","10,949","","1,06%"
"17 дек. 2020 г.","10,894","10,953","11,051","10,888","","-0,57%"
"16 дек. 2020 г.","10,957","11,084","11,141","10,947","","-1,14%"
"15 дек. 2020 г.","11,084","11,129","11,202","11,039","","-1,26%"
"14 дек. 2020 г.","11,225","10,917","11,225","10,871","","1,14%"
"11 дек. 2020 г.","11,099","10,950","11,262","10,908","","2,40%"
