"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"28 июл. 2022 г.","6,254","6,393","6,443","6,252","","-2,71%"
"27 июл. 2022 г.","6,429","6,487","6,492","6,387","","-2,36%"
"26 июл. 2022 г.","6,584","6,560","6,652","6,557","","0,75%"
"25 июл. 2022 г.","6,535","6,540","6,591","6,487","","0,00%"
"22 июл. 2022 г.","6,535","6,553","6,633","6,518","","-0,28%"
"21 июл. 2022 г.","6,554","6,573","6,635","6,538","","-0,36%"
"20 июл. 2022 г.","6,577","6,636","6,657","6,566","","-1,26%"
"19 июл. 2022 г.","6,661","6,663","6,671","6,573","","-1,40%"
"18 июл. 2022 г.","6,756","6,609","6,782","6,574","","1,50%"
"15 июл. 2022 г.","6,656","6,734","6,766","6,634","","-2,45%"
"14 июл. 2022 г.","6,823","6,919","6,983","6,802","","0,74%"
"13 июл. 2022 г.","6,773","6,894","6,898","6,733","","-0,08%"
"12 июл. 2022 г.","6,778","6,739","6,830","6,671","","0,45%"
"11 июл. 2022 г.","6,747","6,701","6,775","6,675","","1,72%"
"08 июл. 2022 г.","6,634","6,710","6,715","6,602","","-1,16%"
"07 июл. 2022 г.","6,712","6,707","6,725","6,642","","-0,52%"
"06 июл. 2022 г.","6,747","6,808","6,880","6,742","","-0,73%"
"05 июл. 2022 г.","6,797","6,926","6,988","6,792","","-0,05%"
"04 июл. 2022 г.","6,800","6,800","6,800","6,800","","0,00%"
"01 июл. 2022 г.","6,800","6,933","7,002","6,793","","-1,45%"
"30 июн. 2022 г.","6,900","6,938","7,020","6,861","","1,12%"
"29 июн. 2022 г.","6,824","6,818","6,906","6,791","","0,32%"
"28 июн. 2022 г.","6,802","6,637","6,846","6,602","","1,72%"
"27 июн. 2022 г.","6,687","6,741","6,780","6,640","","-1,36%"
"24 июн. 2022 г.","6,779","6,771","6,781","6,704","","-1,14%"
"23 июн. 2022 г.","6,857","6,821","6,959","6,795","","0,14%"
"22 июн. 2022 г.","6,848","7,057","7,065","6,848","","-2,13%"
"21 июн. 2022 г.","6,997","6,944","6,999","6,859","","-1,51%"
"20 июн. 2022 г.","7,104","7,104","7,104","7,104","","0,00%"
"17 июн. 2022 г.","7,104","7,240","7,286","7,068","","-2,41%"
"16 июн. 2022 г.","7,280","7,162","7,347","7,130","","4,33%"
"15 июн. 2022 г.","6,978","7,125","7,137","6,795","","-3,49%"
"14 июн. 2022 г.","7,230","7,347","7,408","7,191","","-1,87%"
"13 июн. 2022 г.","7,368","7,180","7,424","7,136","","6,75%"
"10 июн. 2022 г.","6,903","6,796","6,959","6,751","","4,28%"
"09 июн. 2022 г.","6,619","6,511","6,631","6,461","","2,71%"
"08 июн. 2022 г.","6,445","6,491","6,528","6,413","","0,03%"
"07 июн. 2022 г.","6,443","6,668","6,670","6,433","","-1,68%"
"06 июн. 2022 г.","6,553","6,506","6,602","6,481","","-0,43%"
"03 июн. 2022 г.","6,581","6,580","6,629","6,534","","0,94%"
"02 июн. 2022 г.","6,520","6,660","6,677","6,477","","-1,82%"
"01 июн. 2022 г.","6,641","6,606","6,803","6,560","","-0,49%"
"31 мая 2022 г.","6,674","6,805","6,882","6,642","","-0,55%"
"30 мая 2022 г.","6,711","6,711","6,711","6,711","","0,00%"
"27 мая 2022 г.","6,711","6,727","6,766","6,701","","-2,16%"
"26 мая 2022 г.","6,859","6,807","6,864","6,758","","0,27%"
"25 мая 2022 г.","6,840","7,054","7,054","6,826","","-2,13%"
"24 мая 2022 г.","6,989","7,044","7,185","6,982","","0,14%"
"23 мая 2022 г.","6,979","6,930","7,041","6,866","","-0,34%"
"20 мая 2022 г.","7,003","6,865","7,310","6,848","","0,70%"
"19 мая 2022 г.","6,955","7,296","7,323","6,942","","-3,69%"
"18 мая 2022 г.","7,221","6,846","7,236","6,820","","6,49%"
"17 мая 2022 г.","6,781","6,696","6,817","6,672","","-0,77%"
"16 мая 2022 г.","6,834","6,925","6,941","6,816","","-1,94%"
"13 мая 2022 г.","6,969","7,027","7,041","6,862","","-2,99%"
"12 мая 2022 г.","7,183","7,335","7,415","7,133","","-0,91%"
"11 мая 2022 г.","7,249","7,279","7,340","7,017","","0,01%"
"10 мая 2022 г.","7,249","7,177","7,459","7,150","","-2,95%"
"09 мая 2022 г.","7,469","7,232","7,510","7,177","","7,02%"
"06 мая 2022 г.","6,979","7,142","7,499","6,954","","-1,61%"
"05 мая 2022 г.","7,093","6,146","7,214","6,106","","18,60%"
"04 мая 2022 г.","5,980","6,512","6,604","5,947","","-9,40%"
"03 мая 2022 г.","6,601","6,891","6,938","6,576","","-5,32%"
"02 мая 2022 г.","6,972","7,069","7,368","6,949","","4,24%"
"28 апр. 2022 г.","6,689","6,674","6,808","6,493","","-2,88%"
"27 апр. 2022 г.","6,887","6,827","6,887","6,659","","0,68%"
"26 апр. 2022 г.","6,840","6,583","6,843","6,576","","5,23%"
"25 апр. 2022 г.","6,501","6,622","6,760","6,481","","-1,45%"
"22 апр. 2022 г.","6,596","6,284","6,614","6,274","","5,12%"
"21 апр. 2022 г.","6,275","5,954","6,296","5,949","","4,29%"
"20 апр. 2022 г.","6,017","6,058","6,106","6,006","","-1,67%"
"19 апр. 2022 г.","6,120","6,283","6,305","6,073","","-2,79%"
"18 апр. 2022 г.","6,295","6,338","6,366","6,252","","-0,27%"
"15 апр. 2022 г.","6,312","6,312","6,312","6,312","","0,00%"
"14 апр. 2022 г.","6,312","6,158","6,313","6,117","","1,59%"
"13 апр. 2022 г.","6,213","6,430","6,432","6,188","","-2,87%"
"12 апр. 2022 г.","6,396","6,296","6,416","6,217","","0,77%"
"11 апр. 2022 г.","6,347","6,235","6,358","6,215","","2,88%"
"08 апр. 2022 г.","6,169","6,203","6,236","6,094","","0,24%"
"07 апр. 2022 г.","6,155","6,270","6,351","6,119","","-0,99%"
"06 апр. 2022 г.","6,216","6,234","6,363","6,174","","1,18%"
"05 апр. 2022 г.","6,144","5,946","6,153","5,924","","4,03%"
"04 апр. 2022 г.","5,906","6,002","6,021","5,896","","-1,87%"
"01 апр. 2022 г.","6,018","6,023","6,117","5,982","","-1,06%"
"31 мар. 2022 г.","6,083","5,996","6,098","5,987","","1,95%"
"30 мар. 2022 г.","5,966","5,936","6,048","5,903","","0,96%"
"29 мар. 2022 г.","5,909","5,969","5,998","5,897","","-1,97%"
"28 мар. 2022 г.","6,028","6,100","6,232","6,028","","-0,72%"
"25 мар. 2022 г.","6,072","6,166","6,220","6,061","","-1,61%"
"24 мар. 2022 г.","6,171","6,209","6,260","6,097","","-0,61%"
"23 мар. 2022 г.","6,209","6,307","6,315","6,199","","-0,02%"
"22 мар. 2022 г.","6,210","6,223","6,241","6,175","","-1,60%"
"21 мар. 2022 г.","6,311","6,297","6,327","6,102","","0,41%"
"18 мар. 2022 г.","6,285","6,576","6,608","6,284","","-3,62%"
"17 мар. 2022 г.","6,521","6,602","6,616","6,447","","-1,49%"
"16 мар. 2022 г.","6,620","6,823","6,873","6,587","","-5,05%"
"15 мар. 2022 г.","6,972","7,018","7,067","6,895","","-1,51%"
"14 мар. 2022 г.","7,079","6,944","7,251","6,817","","1,53%"
"11 мар. 2022 г.","6,972","6,751","6,972","6,751","","1,39%"
"10 мар. 2022 г.","6,876","7,054","7,102","6,866","","-1,62%"
"09 мар. 2022 г.","6,990","6,869","6,997","6,777","","-1,62%"
"08 мар. 2022 г.","7,105","7,074","7,250","6,833","","-0,18%"
